Index,smiles,logt,Unnamed: 3
TR31,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)cc1,0.7351929407600849,
TE98,CCCOC(=O)CCN1CCC(CC1)(N(C(=O)CC)c2ccccc2)C(=O)OC,0.4890851990166804,
TR45,COc1ccc2cc(ccc2c1)[C@H](C)C(=O)OCc1ccc(OC(=O)OCC[Si](C)(C)C)cc1,0.7027364355688246,
TR175,CN1CCN(Cc2cccc(c2)C(=O)OCC(NC(=O)C(Cl)Cl)C(O)c2ccc(cc2)[N+]([O-])=O)CC1,0.372369866789889,
TR361,CC(C)Cc1ccc(cc1)[C@H](C)C(=O)OCC(=O)N(C)C,0.4006982435231307,
TE99,CCC(=O)N(c1ccccc1)C2(CCN(CCC(=O)OC(C)C)CC2)C(=O)OC,0.5856876680701485,
TR375,CC(C)NCC(O)COC(=O)c1ccccc1Cl,0.2815423835087857,
EX18,COc1ccc(-c2ccc3c(c2)COC3=O)n2nc(C3CC3)nc12,0.4460776069181345,12.0
TR66,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)c1ccc(CO[N+]([O-])=O)cc1,0.3105753026245446,
TR356,CCN(CC)C(=O)COC(=O)[C@@H](C)c1ccc(CC(C)C)cc1,0.2651959392387734,
TR50,COc1ccc2cc(ccc2c1)[C@H](C)C(=O)OCCC(C)(C)C,0.5431243638548076,
EX14,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)OCCOc1ccc2oc(=O)ccc2c1,0.5286558927468074,32.0
TR443,COc1cc(C(C)C)c2C(=O)N(COC(=O)c3c(Cl)ccc(OCCN4CCCC4)c3Cl)S(=O)(=O)c2c1,0.6326118879898214,
TR40,CCCCOc1nc2N(Cc3ccc(F)c(CC(=O)OC)c3)C(=O)Nc2c(N)n1,0.4534617428743508,
TR431,Oc1c(CN2CCCC2)cc(CC(=O)OCCN3C(=O)c4ccccc4C3=O)cc1CN5CCCC5,0.3492643934570544,
TE108,[H]C1(CN2CC[C@]34C5=C6O[C@@]3([H])[C@]3(CC[C@@]4(C[C@]3([H])[C@](C)(O)C(C)(C)C)[C@@]2([H])CC5=CC=C6OC(=O)CC)OC)CC1,0.639937577306655,
TR7,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)=C(N2C1=O)C(=O)OCOC(=O)OC1CCc2ccccc2C1,0.4129864413956737,
TR265,CC(C)C[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)\C=C/c4ccccc4OC1=O,0.5969299851988765,
TR451,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4c3nc5ccccc5c4[Si](C)(C)C(C)(C)C)C2=O,0.595752451241265,
TR342,COC1=C(OC(=O)C2=CC(O)=C(O)C(O)=C2)C=CC(CO)=C1,0.6590885947377115,
TR121,CC(=O)N1[C@H]2CCN([C@@H]2C(C)(C)C1=O)C(=O)OCc1ccccc1,0.7391712705172174,
TR251,O=C1C(NC(CC2=CC=CC=C2)=O)[C@H](SC3(C)C)N1[C@@H]3C(OCOC(C(C)(C)C)=O)=O,0.5662298371876421,
TR321,CCOC(=O)CCCC1=NC2=CC=C(C=C2N1C)N(CCCl)CCCl,0.6375176822296108,
TR87,CCOC(=O)CC(NC(=O)C1CCn2c1ccc2C(=O)c1ccccc1)C(=O)OCC,0.5143516994229881,
EX10,O=C(CCCCC1CCSS1)NCCCOC(=O)Cc1ccc(O)c(O)c1,0.5573592914872147,45.0
TR448,ClCCN(CCCl)c1ccc(CCCC(=O)Oc2cccc(c2)N3C(=O)C=CC3=O)cc1,0.7043840873213297,
TE106,Oc1c(CN2CCCC2)cc(CC(=O)OCC3CCCO3)cc1CN4CCCC4,0.342340577409735,
TR452,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4c3nc5ccccc5c4[Si](C)(C)CCCCl)C2=O,0.6114968693828661,
TR42,CCCCOc1nc2N(Cc3cccc(CC(=O)OC)c3)C(=O)Nc2c(N)n1,0.3173142834646681,
TR183,CN1c2ncn(COC(=O)c3cccc(Cn4ccnc4)c3)c2C(=O)N(C)C1=O,0.2279970166547961,
TR211,COC(=O)[C@H](Cc1ccccc1)NC(=O)CN,0.4307275329032847,
TR57,COC(=O)\C=C\[C@H](CC(C)C)NC(=O)CC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)C(=O)NC(=O)[C@@H](N)C(C)C)C(N)=O,0.6380933585231257,
TR134,CC[C@@]1(OC(=O)CN)C(=O)OCC2=C1C=C1N(Cc3cc4ccccc4nc13)C2=O,0.4648645791603278,
TE103,C[C@@]12[C@](C(OC)=O)(OC(C(Cl)Cl)=O)CC[C@@]1([H])[C@]3([H])CCC4=CC(C=C[C@]4(C)[C@@]3([H])[C@@H](O)C2)=O,0.5140392971824517,
TR276,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)OCCCCO,0.628695260177927,
